Fitting 3 folds for each of 10 candidates, totalling 30 fits
  epoch    train_loss      dur
  epoch    train_loss      dur
-------  ------------  -------
      1        1.2363  20.3672
      2        0.4426  20.7571
      3        0.4047  20.1188
      4        0.3981  19.5810
      5        0.3811  19.6883
      6        0.3796  18.6621
      7        0.3731  18.5849
      8        0.3707  18.4508
      9        0.3658  18.7483
     10        0.3612  19.0922
[CV] END lr=0.010808361216819946, optimizer__weight_decay=0.0008761761457749352; total time= 3.3min
  epoch    train_loss      dur
-------  ------------  -------
      1        1.0374  20.2701
      2        0.4530  20.1928
      3        0.4212  19.1932
      4        0.4050  20.0228
      5        0.3988  20.2104
      6        0.3802  20.1872
      7        0.3762  19.7753
      8        0.3663  19.6915
      9        0.3640  20.2520
     10        0.3595  19.5090
[CV] END lr=0.010808361216819946, optimizer__weight_decay=0.0008761761457749352; total time= 3.4min
  epoch    train_loss      dur
-------  ------------  -------
      1        4.4954  20.7951
      2        0.4481  19.4156
      3        0.4346  20.3150
      4        0.4249  19.3200
      5        0.4187  19.9290
      6        0.4128  20.3199
      7        0.4200  19.2734
      8        0.4081  18.8108
      9        0.4027  20.3565
     10        0.4040  19.5732
[CV] END lr=0.06511150117432088, optimizer__weight_decay=0.0007180725777960455; total time= 3.4min
  epoch    train_loss      dur
-------  ------------  -------
      1        5.0881  19.8025
      2        0.6563  20.2603
      3        0.5796  19.8061
      4        0.5207  20.0568
      5        0.4996  20.2299
      6        0.4808  20.0678
      7        0.4625  19.5438
      8        0.4502  20.8850
      9        0.4537  19.3559
     10        0.4481  19.5689
[CV] END lr=0.06511150117432088, optimizer__weight_decay=0.0007180725777960455; total time= 3.5min
  epoch    train_loss      dur
-------  ------------  -------
      1        6.7493  20.8736
      2        0.6945  19.7610
      3        0.6936  20.4621
      4        0.6930  20.3103
      5        0.6944  19.4865
      6        0.6947  19.4020
      7        0.6943  20.3913
      8        0.6945  19.2581
      9        0.6954  19.3265
     10        0.6946  19.9196
[CV] END lr=0.06511150117432088, optimizer__weight_decay=0.0007180725777960455; total time= 3.5min
  epoch    train_loss      dur
-------  ------------  -------
      1        0.7040  20.1175
      2        0.4008  19.3673
      3        0.3899  19.5862
      4        0.3686  19.0140
      5        0.3614  20.2454
      6        0.3434  20.1252
      7        0.3369  19.4363
      8        0.3287  18.9641
      9        0.3157  19.2046
     10        0.3112  19.8369
[CV] END lr=0.007058449429580244, optimizer__weight_decay=0.0009799098521619943; total time= 3.4min
  epoch    train_loss      dur
-------  ------------  -------
      1        0.7937  20.7091
      2        0.4208  18.9814
      3        0.4008  18.8467
      4        0.3870  19.0269
      5        0.3802  19.4592
      6        0.3660  19.4505
      7        0.3510  18.9527
      8        0.3326  19.0950
      9        0.3255  18.7164
     10        0.3076  19.0095
[CV] END lr=0.007058449429580244, optimizer__weight_decay=0.0009799098521619943; total time= 3.3min
  epoch    train_loss      dur
-------  ------------  -------
      1        0.7922  19.7641
      2        0.4436  19.1501
      3        0.4090  19.2429
      4        0.3993  20.0943
      5        0.3859  19.9680
      6        0.3714  19.0178
      7        0.3613  19.2151
      8        0.3452  20.4437
      9        0.3284  19.5561
     10        0.3262  19.5029
[CV] END lr=0.007058449429580244, optimizer__weight_decay=0.0009799098521619943; total time= 3.3min
  epoch    train_loss      dur
-------  ------------  -------
      1        7.1088  22.5105
      2        0.6947  19.5539
      3        0.6956  19.0980
      4        0.6944  19.6436
      5        0.6948  20.0228
      6        0.6945  19.2992
      7        0.6942  19.2042
      8        0.6949  19.6982
      9        0.6942  19.8316
     10        0.6950  20.1073
[CV] END lr=0.08824426408004218, optimizer__weight_decay=0.00022233911067827617; total time= 3.4min
  epoch    train_loss      dur
-------  ------------  -------
      1        5.3928  20.2423
      2        0.4511  19.0739
      3        0.4316  19.5257
      4        0.4249  20.0117
      5        0.4210  19.6248
      6        0.4209  19.8442
      7        0.4320  19.0674
      8        0.4196  18.7848
      9        0.4208  19.4839
     10        0.4165  19.3871
[CV] END lr=0.08824426408004218, optimizer__weight_decay=0.00022233911067827617; total time= 3.4min
  epoch    train_loss      dur
-------  ------------  -------
      1        9.1888  20.1002
      2        0.6939  19.4047
      3        0.6946  19.8680
      4        0.6944  20.2469
      5        0.6939  20.5080
      6        0.6954  20.5909
      7        0.6950  19.3078
      8        0.6946  20.0976
      9        0.6946  18.6403
     10        0.6944  18.6971
[CV] END lr=0.08824426408004218, optimizer__weight_decay=0.00022233911067827617; total time= 3.4min
  epoch    train_loss      dur
-------  ------------  -------
      1        1.7039  19.3496
      2        0.4676  19.0278
      3        0.4131  18.7866
      4        0.3930  20.1150
      5        0.3847  19.8722
      6        0.3696  20.0788
      7        0.3714  19.9062
      8        0.3703  19.7811
      9        0.3676  19.6983
     10        0.3596  19.5669
[CV] END lr=0.023182496720710065, optimizer__weight_decay=0.00019340450985343383; total time= 3.4min
  epoch    train_loss      dur
-------  ------------  -------
      1        1.5808  20.2233
      2        0.4733  19.8550
      3        0.4105  19.5775
      4        0.3749  19.6331
      5        0.3710  19.4536
      6        0.3603  19.5894
      7        0.3571  19.1706
      8        0.3558  19.0423
      9        0.3473  19.4014
     10        0.3393  20.0572
[CV] END lr=0.023182496720710065, optimizer__weight_decay=0.00019340450985343383; total time= 3.4min
  epoch    train_loss      dur
-------  ------------  -------
      1        1.5146  19.4895
      2        0.4572  19.2977
      3        0.4033  18.9755
      4        0.3840  18.9766
      5        0.3810  19.4688
      6        0.3703  18.5419
      7        0.3643  18.4624
      8        0.3596  18.9439
      9        0.3547  18.7846
     10        0.3550  18.6011
[CV] END lr=0.023182496720710065, optimizer__weight_decay=0.00019340450985343383; total time= 3.2min
  epoch    train_loss      dur
-------  ------------  -------
      1        2.4862  20.9631
      2        0.4415  19.4692
      3        0.4072  19.3137
      4        0.3892  20.0931
      5        0.3789  20.3024
      6        0.3691  20.7121
      7        0.3676  21.0126
      8        0.3689  20.2438
      9        0.3625  20.2681
     10        0.3605  20.7117
[CV] END lr=0.03542422429595377, optimizer__weight_decay=0.0005347564316322379; total time= 3.5min
  epoch    train_loss      dur
-------  ------------  -------
      1        2.0799  20.1885
      2        0.4245  19.4668
      3        0.4170  19.9380
      4        0.4112  19.5011
      5        0.4024  19.1298
      6        0.3877  19.7450
      7        0.3941  19.4201
      8        0.3901  20.5778
      9        0.3790  19.4238
     10        0.3797  19.4330
[CV] END lr=0.03542422429595377, optimizer__weight_decay=0.0005347564316322379; total time= 3.4min
  epoch    train_loss      dur
-------  ------------  -------
      1        2.8445  19.9453
      2        0.4780  19.4658
      3        0.4374  19.1819
      4        0.4123  19.4271
      5        0.3977  19.5766
      6        0.3948  19.3509
      7        0.3914  19.4059
      8        0.3817  19.5834
      9        0.3810  19.1394
     10        0.3774  19.2272
[CV] END lr=0.03542422429595377, optimizer__weight_decay=0.0005347564316322379; total time= 3.3min
  epoch    train_loss      dur
-------  ------------  -------
      1        3.4793  20.1825
      2        0.6947  19.3465
      3        0.6955  19.3718
      4        0.6985  20.0084
      5        0.6949  20.4964
      6        0.6953  19.7344
      7        0.6834  20.0954
      8        0.5313  19.4098
      9        0.4292  19.4303
     10        0.4068  19.8000
[CV] END lr=0.04819450186421158, optimizer__weight_decay=0.00030122914019804195; total time= 3.4min
  epoch    train_loss      dur
-------  ------------  -------
      1        4.3219  19.9880
      2        0.6621  19.7057
      3        0.4714  19.7119
      4        0.4161  19.6044
      5        0.4030  19.2644
      6        0.3971  19.8253
      7        0.3918  19.4651
      8        0.3884  19.8554
      9        0.3891  19.4736
     10        0.3812  18.9825
[CV] END lr=0.04819450186421158, optimizer__weight_decay=0.00030122914019804195; total time= 3.3min
  epoch    train_loss      dur
-------  ------------  -------
      1        3.6486  20.2806
      2        0.5394  19.4940
      3        0.5046  19.2001
      4        0.4640  19.4576
      5        0.4438  19.4216
      6        0.4126  18.9985
      7        0.4023  19.2821
      8        0.3936  19.4790
      9        0.3894  19.2233
     10        0.3938  19.0912
[CV] END lr=0.04819450186421158, optimizer__weight_decay=0.00030122914019804195; total time= 3.3min
  epoch    train_loss      dur
-------  ------------  -------
      1        0.7704  30.0746
      2        0.4138  29.1594
      3        0.3885  28.4199
      4        0.3805  28.3377
      5        0.3705  28.3348
      6        0.3657  28.3691
      7        0.3597  28.5004
      8        0.3507  28.6968
      9        0.3386  30.2073
     10        0.3338  29.4323
